nome_casa,endereço_casa,preco_casa,metros_casa,quartos_casa,banheiros_casa,vagas_casa
"Casa com 2 Quartos à Venda, 100m²","Rua dos Oceanos, 153 - Residencial São Bento, Salto - SP",R$ 210.000,100,2,1,2
"Casa com 4 Quartos à Venda, 363m²","Avenida Brasília, 1 - Buru, Salto - SP",R$ 1.650.000,363,4,4,4
"Casa com 3 Quartos à Venda, 395m²","Jardim Nair Maria, Salto - SP",R$ 645.000,395,3,4,3
"Casa com 2 Quartos à Venda, 100m²","Rua Anastácia Rigolin, 1 - Jardim Nair Maria, Salto - SP",R$ 380.000,100,2,1,1
"Casa com 2 Quartos à Venda, 80m²","Jardim Arco Iris, Salto - SP",R$ 730.000,80,2,1,2
"Casa com 4 Quartos à Venda, 320m²","Rua João Batista Dalla Vecchia, 230 - CONDOMINIO ZULEIKA JABOUR, Salto - SP",R$ 165.000,320,4,6,4
"Casa com 3 Quartos à Venda, 125m²","Jardim das Nações, Salto - SP",R$ 180.000,125,3,2,2
"Casa com 2 Quartos à Venda, 85m²","Estrada Municipal - Residencial Primavera, Salto - SP",R$ 480.000,85,2,2,2
"Casa com 3 Quartos à Venda, 105m²","Rua Acácio Rodrigues de Moraes - Jardim Saltense, Salto - SP",R$ 645.000,105,3,2,2
"Casa com 2 Quartos à Venda, 132m²","Rua Santa Ágeda - Residencial São Gabriel, Salto - SP",R$ 950.000,132,2,2,2
"Casa com 4 Quartos à Venda, 380m²","Rua Estado de Minas Gerais, 811 - Village Moutonnee, Salto - SP",R$ 320.000,380,4,6,2
"Casa com 3 Quartos à Venda, 178m²","Rua Fortaleza, 10 - Jardim Panorama, Salto - SP",R$ 1.350.000,178,3,2,2
"Casa com 3 Quartos à Venda, 130m²","Itapecerica, Salto - SP",R$ 1.150.000,130,3,1,2
"Casa com 3 Quartos à Venda, 183m²","Rua Estado de Minas Gerais, 22 - Loteamento Terras de Sao Pedro e Sao Paulo, Salto - SP",R$ 270.000,183,3,2,4
"Casa com 4 Quartos à Venda, 360m²","Rua África, 275 - Jardim Elizabeth, Salto - SP",R$ 1.499.999,360,4,5,2
"Casa com 3 Quartos à Venda, 219m²","Rua Fortaleza, 342 - Jardim Panorama, Salto - SP",R$ 300.000,219,3,2,2
"Casa com 3 Quartos à Venda, 180m²","Rua das Palmas - Residencial Porto Seguro, Salto - SP",R$ 320.000,180,3,2,2
"Casa com 4 Quartos à Venda, 300m²","Rua Escócia - Jardim Elizabeth, Salto - SP",R$ 650.000,300,4,3,4
"Casa com 3 Quartos à Venda, 308m²","Rua dos Curumbatás - Urb Salto de São José, Salto - SP",R$ 415.000,308,3,4,2
"Casa com 3 Quartos à Venda, 164m²","Rua dos Pássaros, 0 - Residencial Lagos D Icaraí , Salto - SP",R$ 1.590.000,164,3,3,4
"Casa com 2 Quartos à Venda, 100m²","Rua Ramon Garcia, 137 - Village Moutonnee, Salto - SP",R$ 750.000,100,2,2,2
"Casa com 3 Quartos à Venda, 199m²","Rua Juquei, 11 - Jardim D'icarai, Salto - SP",R$ 1.060.000,199,3,3,2
"Casa com 3 Quartos à Venda, 124m²","Rua dos Pássaros, 0 - Residencial Lagos D Icaraí , Salto - SP",R$ 760.000,124,3,3,4
Casa com 3 Quartos à Venda/Aluguel 290m²,"Rua Antônio João Dias, 22 - CONDOMINIO ZULEIKA JABOUR, Salto - SP",R$ 475.000,290,3,4,2
"Casa com 3 Quartos à Venda, 110m²","CONDOMINIO ZULEIKA JABOUR, Salto - SP",R$ 700.000,110,3,2,2
"Casa com 5 Quartos à Venda, 317m²","Rua Guatemala, 0 - Jardim das Nações, Salto - SP",R$ 1.562.000,317,5,4,4
"Casa com 3 Quartos à Venda, 163m²","Residencial Santo Stefano, Salto - SP",R$ 913.000,163,3,3,2
"Casa com 2 Quartos à Venda, 132m²","Rua Orlando Andrietta - Village Moutonnee, Salto - SP",R$ 550.000,132,2,3,2
"Casa com 3 Quartos à Venda, 105m²","Rua Fernão Álvares de Andrade, 30 - Jardim Santa Marta, Salto - SP",R$ 435.000,105,3,2,4
"Casa com Quarto à Venda, 35m²","Rua Antonio Hyppolito - Loteamento Jardim das Constelacoes, Salto - SP",R$ 950.000,35,1,1,2
"Casa com 2 Quartos à Venda, 50m²","Jardim D'icarai, Salto - SP",R$ 6.000 /mês,50,2,1,2
"Casa com 3 Quartos à Venda, 198m²","Rua dos Oceanos, 153 - Residencial São Bento, Salto - SP",R$ 1.100.000,198,3,3,2
"Casa com 3 Quartos à Venda, 113m²","Avenida Brasília, 1 - Buru, Salto - SP",R$ 210.000,113,3,3,2
"Casa com 3 Quartos à Venda, 124m²","Jardim Nair Maria, Salto - SP",R$ 1.650.000,124,3,2,2
"Casa com 3 Quartos à Venda, 206m²","Rua Anastácia Rigolin, 1 - Jardim Nair Maria, Salto - SP",R$ 645.000,206,3,3,2
"Casa com 2 Quartos à Venda, 180m²","Jardim Arco Iris, Salto - SP",R$ 380.000,180,2,2,18
"Casa com 2 Quartos à Venda, 100m²","Rua João Batista Dalla Vecchia, 230 - CONDOMINIO ZULEIKA JABOUR, Salto - SP",R$ 730.000,100,2,1,2
"Casa com 4 Quartos à Venda, 363m²","Jardim das Nações, Salto - SP",R$ 165.000,363,4,4,4
"Casa com 3 Quartos à Venda, 395m²","Estrada Municipal - Residencial Primavera, Salto - SP",R$ 180.000,395,3,4,3
"Casa com 2 Quartos à Venda, 100m²","Rua Acácio Rodrigues de Moraes - Jardim Saltense, Salto - SP",R$ 480.000,100,2,1,1
"Casa com 2 Quartos à Venda, 80m²","Rua Santa Ágeda - Residencial São Gabriel, Salto - SP",R$ 645.000,80,2,1,2
"Casa com 4 Quartos à Venda, 320m²","Rua Estado de Minas Gerais, 811 - Village Moutonnee, Salto - SP",R$ 950.000,320,4,6,4
"Casa com 3 Quartos à Venda, 125m²","Rua Fortaleza, 10 - Jardim Panorama, Salto - SP",R$ 320.000,125,3,2,2
"Casa com 2 Quartos à Venda, 85m²","Itapecerica, Salto - SP",R$ 1.350.000,85,2,2,2
"Casa com 3 Quartos à Venda, 105m²","Rua Estado de Minas Gerais, 22 - Loteamento Terras de Sao Pedro e Sao Paulo, Salto - SP",R$ 1.150.000,105,3,2,2
"Casa com 2 Quartos à Venda, 132m²","Rua África, 275 - Jardim Elizabeth, Salto - SP",R$ 270.000,132,2,2,2
"Casa com 4 Quartos à Venda, 380m²","Rua Fortaleza, 342 - Jardim Panorama, Salto - SP",R$ 1.499.999,380,4,6,2
"Casa com 3 Quartos à Venda, 178m²","Rua das Palmas - Residencial Porto Seguro, Salto - SP",R$ 300.000,178,3,2,2
"Casa com 3 Quartos à Venda, 130m²","Rua Escócia - Jardim Elizabeth, Salto - SP",R$ 320.000,130,3,1,2
"Casa com 3 Quartos à Venda, 183m²","Rua dos Curumbatás - Urb Salto de São José, Salto - SP",R$ 650.000,183,3,2,4
"Casa com 4 Quartos à Venda, 360m²","Rua dos Pássaros, 0 - Residencial Lagos D Icaraí , Salto - SP",R$ 415.000,360,4,5,2
"Casa com 3 Quartos à Venda, 219m²","Rua Ramon Garcia, 137 - Village Moutonnee, Salto - SP",R$ 1.590.000,219,3,2,2
"Casa com 3 Quartos à Venda, 180m²","Rua Juquei, 11 - Jardim D'icarai, Salto - SP",R$ 750.000,180,3,2,2
"Casa com 4 Quartos à Venda, 300m²","Rua dos Pássaros, 0 - Residencial Lagos D Icaraí , Salto - SP",R$ 1.060.000,300,4,3,4
"Casa com 3 Quartos à Venda, 308m²","Rua Antônio João Dias, 22 - CONDOMINIO ZULEIKA JABOUR, Salto - SP",R$ 760.000,308,3,4,2
"Casa com 3 Quartos à Venda, 164m²","CONDOMINIO ZULEIKA JABOUR, Salto - SP",R$ 475.000,164,3,3,4
"Casa com 2 Quartos à Venda, 100m²","Rua Guatemala, 0 - Jardim das Nações, Salto - SP",R$ 700.000,100,2,2,2
"Casa com 3 Quartos à Venda, 199m²","Residencial Santo Stefano, Salto - SP",R$ 1.562.000,199,3,3,2
"Casa com 3 Quartos à Venda, 124m²","Rua Orlando Andrietta - Village Moutonnee, Salto - SP",R$ 913.000,124,3,3,4
Casa com 3 Quartos à Venda/Aluguel 290m²,"Rua Fernão Álvares de Andrade, 30 - Jardim Santa Marta, Salto - SP",R$ 550.000,290,3,4,2
"Casa com 3 Quartos à Venda, 110m²","Rua Antonio Hyppolito - Loteamento Jardim das Constelacoes, Salto - SP",R$ 435.000,110,3,2,2
"Casa com 5 Quartos à Venda, 317m²","Jardim D'icarai, Salto - SP",R$ 950.000,317,5,4,4
"Casa com 3 Quartos à Venda, 163m²","Rua dos Oceanos, 153 - Residencial São Bento, Salto - SP",R$ 6.000 /mês,163,3,3,2
"Casa com 2 Quartos à Venda, 132m²","Avenida Brasília, 1 - Buru, Salto - SP",R$ 1.100.000,132,2,3,2
"Casa com 3 Quartos à Venda, 105m²","Jardim Nair Maria, Salto - SP",R$ 210.000,105,3,2,4
"Casa com Quarto à Venda, 35m²","Rua Anastácia Rigolin, 1 - Jardim Nair Maria, Salto - SP",R$ 1.650.000,35,1,1,2
"Casa com 2 Quartos à Venda, 50m²","Jardim Arco Iris, Salto - SP",R$ 645.000,50,2,1,2
"Casa com 3 Quartos à Venda, 198m²","Rua João Batista Dalla Vecchia, 230 - CONDOMINIO ZULEIKA JABOUR, Salto - SP",R$ 380.000,198,3,3,2
"Casa com 3 Quartos à Venda, 113m²","Jardim das Nações, Salto - SP",R$ 730.000,113,3,3,2
"Casa com 3 Quartos à Venda, 124m²","Estrada Municipal - Residencial Primavera, Salto - SP",R$ 165.000,124,3,2,2
"Casa com 3 Quartos à Venda, 206m²","Rua Acácio Rodrigues de Moraes - Jardim Saltense, Salto - SP",R$ 180.000,206,3,3,2
"Casa com 2 Quartos à Venda, 180m²","Rua Santa Ágeda - Residencial São Gabriel, Salto - SP",R$ 480.000,180,2,2,18
"Casa com 2 Quartos à Venda, 100m²","Rua Estado de Minas Gerais, 811 - Village Moutonnee, Salto - SP",R$ 645.000,100,2,1,2
"Casa com 4 Quartos à Venda, 363m²","Rua Fortaleza, 10 - Jardim Panorama, Salto - SP",R$ 950.000,363,4,4,4
"Casa com 3 Quartos à Venda, 395m²","Itapecerica, Salto - SP",R$ 320.000,395,3,4,3
"Casa com 2 Quartos à Venda, 100m²","Rua Estado de Minas Gerais, 22 - Loteamento Terras de Sao Pedro e Sao Paulo, Salto - SP",R$ 1.350.000,100,2,1,1
"Casa com 2 Quartos à Venda, 80m²","Rua África, 275 - Jardim Elizabeth, Salto - SP",R$ 1.150.000,80,2,1,2
"Casa com 4 Quartos à Venda, 320m²","Rua Fortaleza, 342 - Jardim Panorama, Salto - SP",R$ 270.000,320,4,6,4
"Casa com 3 Quartos à Venda, 125m²","Rua das Palmas - Residencial Porto Seguro, Salto - SP",R$ 1.499.999,125,3,2,2
"Casa com 2 Quartos à Venda, 85m²","Rua Escócia - Jardim Elizabeth, Salto - SP",R$ 300.000,85,2,2,2
"Casa com 3 Quartos à Venda, 105m²","Rua dos Curumbatás - Urb Salto de São José, Salto - SP",R$ 320.000,105,3,2,2
"Casa com 2 Quartos à Venda, 132m²","Rua dos Pássaros, 0 - Residencial Lagos D Icaraí , Salto - SP",R$ 650.000,132,2,2,2
"Casa com 4 Quartos à Venda, 380m²","Rua Ramon Garcia, 137 - Village Moutonnee, Salto - SP",R$ 415.000,380,4,6,2
"Casa com 3 Quartos à Venda, 178m²","Rua Juquei, 11 - Jardim D'icarai, Salto - SP",R$ 1.590.000,178,3,2,2
"Casa com 3 Quartos à Venda, 130m²","Rua dos Pássaros, 0 - Residencial Lagos D Icaraí , Salto - SP",R$ 750.000,130,3,1,2
"Casa com 3 Quartos à Venda, 183m²","Rua Antônio João Dias, 22 - CONDOMINIO ZULEIKA JABOUR, Salto - SP",R$ 1.060.000,183,3,2,4
"Casa com 4 Quartos à Venda, 360m²","CONDOMINIO ZULEIKA JABOUR, Salto - SP",R$ 760.000,360,4,5,2
"Casa com 3 Quartos à Venda, 219m²","Rua Guatemala, 0 - Jardim das Nações, Salto - SP",R$ 475.000,219,3,2,2
"Casa com 3 Quartos à Venda, 180m²","Residencial Santo Stefano, Salto - SP",R$ 700.000,180,3,2,2
"Casa com 4 Quartos à Venda, 300m²","Rua Orlando Andrietta - Village Moutonnee, Salto - SP",R$ 1.562.000,300,4,3,4
"Casa com 3 Quartos à Venda, 308m²","Rua Fernão Álvares de Andrade, 30 - Jardim Santa Marta, Salto - SP",R$ 913.000,308,3,4,2
"Casa com 3 Quartos à Venda, 164m²","Rua Antonio Hyppolito - Loteamento Jardim das Constelacoes, Salto - SP",R$ 550.000,164,3,3,4
"Casa com 2 Quartos à Venda, 100m²","Jardim D'icarai, Salto - SP",R$ 435.000,100,2,2,2
"Casa com 3 Quartos à Venda, 199m²","Rua dos Oceanos, 153 - Residencial São Bento, Salto - SP",R$ 950.000,199,3,3,2
"Casa com 3 Quartos à Venda, 124m²","Avenida Brasília, 1 - Buru, Salto - SP",R$ 6.000 /mês,124,3,3,4
Casa com 3 Quartos à Venda/Aluguel 290m²,"Jardim Nair Maria, Salto - SP",R$ 1.100.000,290,3,4,2
"Casa com 3 Quartos à Venda, 110m²","Rua Anastácia Rigolin, 1 - Jardim Nair Maria, Salto - SP",R$ 210.000,110,3,2,2
"Casa com 5 Quartos à Venda, 317m²","Jardim Arco Iris, Salto - SP",R$ 1.650.000,317,5,4,4
"Casa com 3 Quartos à Venda, 163m²","Rua João Batista Dalla Vecchia, 230 - CONDOMINIO ZULEIKA JABOUR, Salto - SP",R$ 645.000,163,3,3,2
"Casa com 2 Quartos à Venda, 132m²","Jardim das Nações, Salto - SP",R$ 380.000,132,2,3,2
"Casa com 3 Quartos à Venda, 105m²","Estrada Municipal - Residencial Primavera, Salto - SP",R$ 730.000,105,3,2,4
"Casa com Quarto à Venda, 35m²","Rua Acácio Rodrigues de Moraes - Jardim Saltense, Salto - SP",R$ 165.000,35,1,1,2
"Casa com 2 Quartos à Venda, 50m²","Rua Santa Ágeda - Residencial São Gabriel, Salto - SP",R$ 180.000,50,2,1,2
"Casa com 3 Quartos à Venda, 198m²","Rua Estado de Minas Gerais, 811 - Village Moutonnee, Salto - SP",R$ 480.000,198,3,3,2
"Casa com 3 Quartos à Venda, 113m²","Rua Fortaleza, 10 - Jardim Panorama, Salto - SP",R$ 645.000,113,3,3,2
"Casa com 3 Quartos à Venda, 124m²","Itapecerica, Salto - SP",R$ 950.000,124,3,2,2
"Casa com 3 Quartos à Venda, 206m²","Rua Estado de Minas Gerais, 22 - Loteamento Terras de Sao Pedro e Sao Paulo, Salto - SP",R$ 320.000,206,3,3,2
"Casa com 2 Quartos à Venda, 180m²","Rua África, 275 - Jardim Elizabeth, Salto - SP",R$ 1.350.000,180,2,2,18
"Casa com 2 Quartos à Venda, 100m²","Rua Fortaleza, 342 - Jardim Panorama, Salto - SP",R$ 1.150.000,100,2,1,2
"Casa com 4 Quartos à Venda, 363m²","Rua das Palmas - Residencial Porto Seguro, Salto - SP",R$ 270.000,363,4,4,4
"Casa com 3 Quartos à Venda, 395m²","Rua Escócia - Jardim Elizabeth, Salto - SP",R$ 1.499.999,395,3,4,3
"Casa com 2 Quartos à Venda, 100m²","Rua dos Curumbatás - Urb Salto de São José, Salto - SP",R$ 300.000,100,2,1,1
"Casa com 2 Quartos à Venda, 80m²","Rua dos Pássaros, 0 - Residencial Lagos D Icaraí , Salto - SP",R$ 320.000,80,2,1,2
"Casa com 4 Quartos à Venda, 320m²","Rua Ramon Garcia, 137 - Village Moutonnee, Salto - SP",R$ 650.000,320,4,6,4
"Casa com 3 Quartos à Venda, 125m²","Rua Juquei, 11 - Jardim D'icarai, Salto - SP",R$ 415.000,125,3,2,2
"Casa com 2 Quartos à Venda, 85m²","Rua dos Pássaros, 0 - Residencial Lagos D Icaraí , Salto - SP",R$ 1.590.000,85,2,2,2
"Casa com 3 Quartos à Venda, 105m²","Rua Antônio João Dias, 22 - CONDOMINIO ZULEIKA JABOUR, Salto - SP",R$ 750.000,105,3,2,2
"Casa com 2 Quartos à Venda, 132m²","CONDOMINIO ZULEIKA JABOUR, Salto - SP",R$ 1.060.000,132,2,2,2
"Casa com 4 Quartos à Venda, 380m²","Rua Guatemala, 0 - Jardim das Nações, Salto - SP",R$ 760.000,380,4,6,2
"Casa com 3 Quartos à Venda, 178m²","Residencial Santo Stefano, Salto - SP",R$ 475.000,178,3,2,2
"Casa com 3 Quartos à Venda, 130m²","Rua Orlando Andrietta - Village Moutonnee, Salto - SP",R$ 700.000,130,3,1,2
"Casa com 3 Quartos à Venda, 183m²","Rua Fernão Álvares de Andrade, 30 - Jardim Santa Marta, Salto - SP",R$ 1.562.000,183,3,2,4
"Casa com 4 Quartos à Venda, 360m²","Rua Antonio Hyppolito - Loteamento Jardim das Constelacoes, Salto - SP",R$ 913.000,360,4,5,2
"Casa com 3 Quartos à Venda, 219m²","Jardim D'icarai, Salto - SP",R$ 550.000,219,3,2,2
"Casa com 3 Quartos à Venda, 180m²","Rua dos Oceanos, 153 - Residencial São Bento, Salto - SP",R$ 435.000,180,3,2,2
"Casa com 4 Quartos à Venda, 300m²","Avenida Brasília, 1 - Buru, Salto - SP",R$ 950.000,300,4,3,4
"Casa com 3 Quartos à Venda, 308m²","Jardim Nair Maria, Salto - SP",R$ 6.000 /mês,308,3,4,2
"Casa com 3 Quartos à Venda, 164m²","Rua Anastácia Rigolin, 1 - Jardim Nair Maria, Salto - SP",R$ 1.100.000,164,3,3,4
"Casa com 2 Quartos à Venda, 100m²","Jardim Arco Iris, Salto - SP",R$ 210.000,100,2,2,2
"Casa com 3 Quartos à Venda, 199m²","Rua João Batista Dalla Vecchia, 230 - CONDOMINIO ZULEIKA JABOUR, Salto - SP",R$ 1.650.000,199,3,3,2
"Casa com 3 Quartos à Venda, 124m²","Jardim das Nações, Salto - SP",R$ 645.000,124,3,3,4
Casa com 3 Quartos à Venda/Aluguel 290m²,"Estrada Municipal - Residencial Primavera, Salto - SP",R$ 380.000,290,3,4,2
"Casa com 3 Quartos à Venda, 110m²","Rua Acácio Rodrigues de Moraes - Jardim Saltense, Salto - SP",R$ 730.000,110,3,2,2
"Casa com 5 Quartos à Venda, 317m²","Rua Santa Ágeda - Residencial São Gabriel, Salto - SP",R$ 165.000,317,5,4,4
"Casa com 3 Quartos à Venda, 163m²","Rua Estado de Minas Gerais, 811 - Village Moutonnee, Salto - SP",R$ 180.000,163,3,3,2
"Casa com 2 Quartos à Venda, 132m²","Rua Fortaleza, 10 - Jardim Panorama, Salto - SP",R$ 480.000,132,2,3,2
"Casa com 3 Quartos à Venda, 105m²","Itapecerica, Salto - SP",R$ 645.000,105,3,2,4
"Casa com Quarto à Venda, 35m²","Rua Estado de Minas Gerais, 22 - Loteamento Terras de Sao Pedro e Sao Paulo, Salto - SP",R$ 950.000,35,1,1,2
"Casa com 2 Quartos à Venda, 50m²","Rua África, 275 - Jardim Elizabeth, Salto - SP",R$ 320.000,50,2,1,2
"Casa com 3 Quartos à Venda, 198m²","Rua Fortaleza, 342 - Jardim Panorama, Salto - SP",R$ 1.350.000,198,3,3,2
"Casa com 3 Quartos à Venda, 113m²","Rua das Palmas - Residencial Porto Seguro, Salto - SP",R$ 1.150.000,113,3,3,2
"Casa com 3 Quartos à Venda, 124m²","Rua Escócia - Jardim Elizabeth, Salto - SP",R$ 270.000,124,3,2,2
"Casa com 3 Quartos à Venda, 206m²","Rua dos Curumbatás - Urb Salto de São José, Salto - SP",R$ 1.499.999,206,3,3,2
"Casa com 2 Quartos à Venda, 180m²","Rua dos Pássaros, 0 - Residencial Lagos D Icaraí , Salto - SP",R$ 300.000,180,2,2,18
"Casa com 2 Quartos à Venda, 100m²","Rua Ramon Garcia, 137 - Village Moutonnee, Salto - SP",R$ 320.000,100,2,1,2
"Casa com 4 Quartos à Venda, 363m²","Rua Juquei, 11 - Jardim D'icarai, Salto - SP",R$ 650.000,363,4,4,4
"Casa com 3 Quartos à Venda, 395m²","Rua dos Pássaros, 0 - Residencial Lagos D Icaraí , Salto - SP",R$ 415.000,395,3,4,3
"Casa com 2 Quartos à Venda, 100m²","Rua Antônio João Dias, 22 - CONDOMINIO ZULEIKA JABOUR, Salto - SP",R$ 1.590.000,100,2,1,1
"Casa com 2 Quartos à Venda, 80m²","CONDOMINIO ZULEIKA JABOUR, Salto - SP",R$ 750.000,80,2,1,2
"Casa com 4 Quartos à Venda, 320m²","Rua Guatemala, 0 - Jardim das Nações, Salto - SP",R$ 1.060.000,320,4,6,4
"Casa com 3 Quartos à Venda, 125m²","Residencial Santo Stefano, Salto - SP",R$ 760.000,125,3,2,2
"Casa com 2 Quartos à Venda, 85m²","Rua Orlando Andrietta - Village Moutonnee, Salto - SP",R$ 475.000,85,2,2,2
"Casa com 3 Quartos à Venda, 105m²","Rua Fernão Álvares de Andrade, 30 - Jardim Santa Marta, Salto - SP",R$ 700.000,105,3,2,2
"Casa com 2 Quartos à Venda, 132m²","Rua Antonio Hyppolito - Loteamento Jardim das Constelacoes, Salto - SP",R$ 1.562.000,132,2,2,2
"Casa com 4 Quartos à Venda, 380m²","Jardim D'icarai, Salto - SP",R$ 913.000,380,4,6,2
"Casa com 3 Quartos à Venda, 178m²","Rua dos Oceanos, 153 - Residencial São Bento, Salto - SP",R$ 550.000,178,3,2,2
"Casa com 3 Quartos à Venda, 130m²","Avenida Brasília, 1 - Buru, Salto - SP",R$ 435.000,130,3,1,2
"Casa com 3 Quartos à Venda, 183m²","Jardim Nair Maria, Salto - SP",R$ 950.000,183,3,2,4
"Casa com 4 Quartos à Venda, 360m²","Rua Anastácia Rigolin, 1 - Jardim Nair Maria, Salto - SP",R$ 6.000 /mês,360,4,5,2
"Casa com 3 Quartos à Venda, 219m²","Jardim Arco Iris, Salto - SP",R$ 1.100.000,219,3,2,2
"Casa com 3 Quartos à Venda, 180m²","Rua João Batista Dalla Vecchia, 230 - CONDOMINIO ZULEIKA JABOUR, Salto - SP",R$ 210.000,180,3,2,2
"Casa com 4 Quartos à Venda, 300m²","Jardim das Nações, Salto - SP",R$ 1.650.000,300,4,3,4
"Casa com 3 Quartos à Venda, 308m²","Estrada Municipal - Residencial Primavera, Salto - SP",R$ 645.000,308,3,4,2
"Casa com 3 Quartos à Venda, 164m²","Rua Acácio Rodrigues de Moraes - Jardim Saltense, Salto - SP",R$ 380.000,164,3,3,4
"Casa com 2 Quartos à Venda, 100m²","Rua Santa Ágeda - Residencial São Gabriel, Salto - SP",R$ 730.000,100,2,2,2
"Casa com 3 Quartos à Venda, 199m²","Rua Estado de Minas Gerais, 811 - Village Moutonnee, Salto - SP",R$ 165.000,199,3,3,2
"Casa com 3 Quartos à Venda, 124m²","Rua Fortaleza, 10 - Jardim Panorama, Salto - SP",R$ 180.000,124,3,3,4
Casa com 3 Quartos à Venda/Aluguel 290m²,"Itapecerica, Salto - SP",R$ 480.000,290,3,4,2
"Casa com 3 Quartos à Venda, 110m²","Rua Estado de Minas Gerais, 22 - Loteamento Terras de Sao Pedro e Sao Paulo, Salto - SP",R$ 645.000,110,3,2,2
"Casa com 5 Quartos à Venda, 317m²","Rua África, 275 - Jardim Elizabeth, Salto - SP",R$ 950.000,317,5,4,4
"Casa com 3 Quartos à Venda, 163m²","Rua Fortaleza, 342 - Jardim Panorama, Salto - SP",R$ 320.000,163,3,3,2
"Casa com 2 Quartos à Venda, 132m²","Rua das Palmas - Residencial Porto Seguro, Salto - SP",R$ 1.350.000,132,2,3,2
"Casa com 3 Quartos à Venda, 105m²","Rua Escócia - Jardim Elizabeth, Salto - SP",R$ 1.150.000,105,3,2,4
"Casa com Quarto à Venda, 35m²","Rua dos Curumbatás - Urb Salto de São José, Salto - SP",R$ 270.000,35,1,1,2
"Casa com 2 Quartos à Venda, 50m²","Rua dos Pássaros, 0 - Residencial Lagos D Icaraí , Salto - SP",R$ 1.499.999,50,2,1,2
"Casa com 3 Quartos à Venda, 198m²","Rua Ramon Garcia, 137 - Village Moutonnee, Salto - SP",R$ 300.000,198,3,3,2
"Casa com 3 Quartos à Venda, 113m²","Rua Juquei, 11 - Jardim D'icarai, Salto - SP",R$ 320.000,113,3,3,2
"Casa com 3 Quartos à Venda, 124m²","Rua dos Pássaros, 0 - Residencial Lagos D Icaraí , Salto - SP",R$ 650.000,124,3,2,2
"Casa com 3 Quartos à Venda, 206m²","Rua Antônio João Dias, 22 - CONDOMINIO ZULEIKA JABOUR, Salto - SP",R$ 415.000,206,3,3,2
"Casa com 2 Quartos à Venda, 180m²","CONDOMINIO ZULEIKA JABOUR, Salto - SP",R$ 1.590.000,180,2,2,18
"Casa com 2 Quartos à Venda, 100m²","Rua Guatemala, 0 - Jardim das Nações, Salto - SP",R$ 750.000,100,2,1,2
"Casa com 4 Quartos à Venda, 363m²","Residencial Santo Stefano, Salto - SP",R$ 1.060.000,363,4,4,4
"Casa com 3 Quartos à Venda, 395m²","Rua Orlando Andrietta - Village Moutonnee, Salto - SP",R$ 760.000,395,3,4,3
"Casa com 2 Quartos à Venda, 100m²","Rua Fernão Álvares de Andrade, 30 - Jardim Santa Marta, Salto - SP",R$ 475.000,100,2,1,1
"Casa com 2 Quartos à Venda, 80m²","Rua Antonio Hyppolito - Loteamento Jardim das Constelacoes, Salto - SP",R$ 700.000,80,2,1,2
"Casa com 4 Quartos à Venda, 320m²","Jardim D'icarai, Salto - SP",R$ 1.562.000,320,4,6,4
"Casa com 3 Quartos à Venda, 125m²","Rua dos Oceanos, 153 - Residencial São Bento, Salto - SP",R$ 913.000,125,3,2,2
"Casa com 2 Quartos à Venda, 85m²","Avenida Brasília, 1 - Buru, Salto - SP",R$ 550.000,85,2,2,2
"Casa com 3 Quartos à Venda, 105m²","Jardim Nair Maria, Salto - SP",R$ 435.000,105,3,2,2
"Casa com 2 Quartos à Venda, 132m²","Rua Anastácia Rigolin, 1 - Jardim Nair Maria, Salto - SP",R$ 950.000,132,2,2,2
"Casa com 4 Quartos à Venda, 380m²","Jardim Arco Iris, Salto - SP",R$ 6.000 /mês,380,4,6,2
"Casa com 3 Quartos à Venda, 178m²","Rua João Batista Dalla Vecchia, 230 - CONDOMINIO ZULEIKA JABOUR, Salto - SP",R$ 1.100.000,178,3,2,2
"Casa com 3 Quartos à Venda, 130m²","Jardim das Nações, Salto - SP",R$ 210.000,130,3,1,2
"Casa com 3 Quartos à Venda, 183m²","Estrada Municipal - Residencial Primavera, Salto - SP",R$ 1.650.000,183,3,2,4
"Casa com 4 Quartos à Venda, 360m²","Rua Acácio Rodrigues de Moraes - Jardim Saltense, Salto - SP",R$ 645.000,360,4,5,2
"Casa com 3 Quartos à Venda, 219m²","Rua Santa Ágeda - Residencial São Gabriel, Salto - SP",R$ 380.000,219,3,2,2
"Casa com 3 Quartos à Venda, 180m²","Rua Estado de Minas Gerais, 811 - Village Moutonnee, Salto - SP",R$ 730.000,180,3,2,2
"Casa com 4 Quartos à Venda, 300m²","Rua Fortaleza, 10 - Jardim Panorama, Salto - SP",R$ 165.000,300,4,3,4
"Casa com 3 Quartos à Venda, 308m²","Itapecerica, Salto - SP",R$ 180.000,308,3,4,2
"Casa com 3 Quartos à Venda, 164m²","Rua Estado de Minas Gerais, 22 - Loteamento Terras de Sao Pedro e Sao Paulo, Salto - SP",R$ 480.000,164,3,3,4
"Casa com 2 Quartos à Venda, 100m²","Rua África, 275 - Jardim Elizabeth, Salto - SP",R$ 645.000,100,2,2,2
"Casa com 3 Quartos à Venda, 199m²","Rua Fortaleza, 342 - Jardim Panorama, Salto - SP",R$ 950.000,199,3,3,2
"Casa com 3 Quartos à Venda, 124m²","Rua das Palmas - Residencial Porto Seguro, Salto - SP",R$ 320.000,124,3,3,4
